かいざん,21,
かいしゃ,66,
かいしゃく,38,
かいしゅん,14,
かいしょう,40,
かいしん,33,
かいそう,73,
かいちょく,7,
かいつぶり,16,
かいてい,50,
かいな,292,
かいなで,22,
かいひょう,8,
かいめつ,33,
かいよう,33,
かいらん,39,
かいり,83,
かいわい,304,
かい人,28,
かい性,2,
かお,1294,
かかあ天下,1,
かかし,110,
かかと,321,
かかり,97,
かかりつけ,40,
かかり湯,2,
かかわり,190,
かかわり合い,19,
かかん,44,
かがり火,34,
かき,1154,
かきつばた,109,
かき揚げ,3,
かき氷,4,
かき餅,18,
かぎ,629,
かぎゅう,6,
かぎょう,77,
かぎろい,1,
かぎろひ,22,
かぎ裂き,4,
かぎ針,1,
かぎ鼻,4,
かく,2263,
かくざ,5,
かくしゅ,21,
かくし子,5,
かくし芸,11,
かくせい,59,
かくど,47,
かくはん,4,
かくひつ,17,
かくらん,82,
かくれんぼ,45,
かく怒,1,
かく清,2,
かく筆,2,
かく首,2,
かぐら,231,
かけ,1365,
かけあい,50,
かけがえ,98,
かけくらべ,3,
かけす,50,
かけっこ,50,
かけ声,114,
かけ持ち,12,
かけ橋,14,
かけ算,1,
かげり,46,
かげろう,266,
かご,1117,
かごの鳥,7,
かごめ,11,
かさ,1644,
かさご,45,
かさぶた,42,
かさん,62,
かざけ,4,
かざし,100,
かざり,339,
かざり職,1,
かし,1787,
かしく,705,
かしこ,62,
かしょう,30,
かしら,826,
かしわ,105,
かじ,855,
かじき,12,
かじとり,9,
かじ取り,1,
かす,1381,
かすかす,8,
かすみ,299,
かす汁,2,
かずき,28,
かずの子,4,
かせ糸,1,
かぜ,1153,
かたかご,1,
かたがた,585,
かたぎ,354,
かたず,243,
かたち,1157,
かたっぱし,88,
かたつむり,84,
かたは,414,
かたばみ,20,
かたびら,222,
かたん,57,
かたパン,2,
かちん,18,
かっか,99,
かっかん,3,
かっきょ,16,
かっけつ,39,
かっこ,110,
かっこう,705,
かっさい,195,
かっしゃ,36,
かっしょう,2,
かっすい,1,
かっそう,13,
かったつ,40,
かっとう,96,
かっぱ,393,
かっぷく,97,
かっぽ,100,
かっぽう,47,
かっ血,1,
かつ,1229,
かつお,160,
かつお節,3,
かつごう,56,
かつぶし,42,
かつもく,19,
かつら,348,
かつを,29,
かつ目,3,
かでん,29,
かな,2416,
かながしら,4,
かなしみ,227,
かなづち,116,
かなぶん,8,
かなめ,114,
かなり,1485,
かな書き,2,
かな漢字,3,
かな遣い,2,
かに,1498,
かね,1393,
かねごと,9,
かね合い,10,
かのう,178,
かはたれ,20,
かばいろ,44,
かばね,301,
かばん,358,
かば焼き,1,
かぴたん,6,
かぶせ蓋,2,
かぶとむし,48,
かぶと虫,13,
かぶりつき,4,
かぶれ,118,
かぼちゃ,113,
かま,1502,
かまきり,70,
かまくら,74,
かまぼこ,113,
かま首,8,
かみきりむし,8,
かみきり虫,1,
かみさん,614,
かみ合わせ,3,
かめ,540,
かめの子,10,
かめの甲,1,
かも,707,
かもしか,63,
かもめ,169,
かや,933,
かゆみ,10,
から,345,
からうす,33,
からかい,176,
からがら,24,
からくり,271,
からすみ,68,
からたち,89,
からだ,1347,
からっきし,8,
からっけつ,4,
からっぽ,168,
からっ下手,4,
からっ風,7,
からめ手,19,
から元気,4,
から口,64,
かりょう,28,
かりん糖,7,
かるた,128,
かれい,102,
かれん,207,
かわき,53,
かわせ,74,
かわせみ,35,
かわたれ,8,
かわら,323,
かわらけ,82,
かわり,803,
かわりばんこ,26,
かん,3744,
かんいん,36,
かんおう,11,
かんおけ,48,
かんかい,18,
かんかく,58,
かんかん帽,1,
かんがい,23,
かんきつ,12,
かんきん,59,
かんげ,71,
かんげん,59,
かんこう,115,
かんし,495,
かんしょ,18,
かんじき,23,
かんじょう,165,
かんじん,465,
かんすい,33,
かんせん,23,
かんちょう,62,
かんつう,27,
かんてい,51,
かんてき,14,
かんどう,95,
かんな,248,
かんにゅう,5,
かんにん,223,
かんぬき,34,
かんのう,24,
かんばせ,74,
かんぱ,49,
かんぱい,18,
かんぱつ,27,
かんぱん,89,
かんぷ,69,
かんぷう,7,
かんぷく,12,
かんぷん,3,
かんべん,158,
かんぽ,26,
かんもく,30,
かんよう,66,
かん口,1,
かん子,2,
かん定,3,
